,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,peniche,PT,39.3558,-9.3811,81.88,83,0,16.87,clear sky
312,rancho palos verdes,US,33.7445,-118.387,87.35,82,1,4.0,mist
313,sur,OM,22.5667,59.5289,90.07,56,32,8.1,scattered clouds
314,mapiripan,CO,2.8892,-72.1256,83.12,72,70,1.21,broken clouds
315,thinadhoo,MV,0.5333,72.9333,82.33,71,82,6.06,heavy intensity rain
316,ternate,ID,0.8,127.4,79.68,82,93,4.65,overcast clouds
317,geraldton,AU,-28.7667,114.6,50.41,87,75,5.75,broken clouds
318,kastamonu,TR,41.5,33.6667,63.97,67,88,7.92,moderate rain
319,saquisili,EC,-0.8333,-78.6667,60.75,63,75,23.02,light rain
320,alice springs,AU,-23.7,133.8833,56.75,30,1,8.05,clear sky
321,maldonado,UY,-34.6667,-54.9167,51.19,77,93,12.21,overcast clouds
322,klaksvik,FO,62.2266,-6.589,50.92,93,99,1.28,overcast clouds
323,tyukhtet,RU,56.5389,89.3011,64.26,97,98,3.27,overcast clouds
324,tripoli,LY,32.8752,13.1875,89.67,48,0,12.97,clear sky
325,kontagora,NG,10.3999,5.4695,77.22,89,86,3.89,light rain
326,elizabeth city,US,36.2946,-76.2511,92.01,67,1,5.01,clear sky
327,pasni,PK,25.2631,63.471,80.24,80,36,11.18,scattered clouds
328,codrington,AU,-38.2667,141.9667,54.41,84,92,21.97,light rain
329,yarim,YE,14.298,44.3779,60.06,69,94,4.18,overcast clouds
330,port keats,AU,-14.25,129.55,71.91,83,21,4.12,few clouds
331,potsdam,DE,52.3989,13.0657,74.86,55,36,6.24,light rain
332,marinette,US,45.1,-87.6307,85.15,83,20,4.61,few clouds
333,castro,BR,-24.7911,-50.0119,75.94,37,36,9.37,scattered clouds
334,jimo,CN,36.3897,120.4622,73.18,94,75,4.47,light intensity shower rain
335,east moline,US,41.5009,-90.4443,92.62,72,1,8.05,clear sky
336,asau,RO,46.4333,26.4,77.76,69,26,2.71,scattered clouds
337,ossora,RU,59.2353,163.0719,54.25,63,35,7.16,scattered clouds
338,plettenberg bay,ZA,-34.0527,23.3716,52.7,67,0,5.19,clear sky
339,acapulco,MX,16.8634,-99.8901,80.42,83,75,4.61,broken clouds
340,gweta,BW,-20.1833,25.2333,71.96,32,0,20.6,clear sky
341,bambanglipuro,ID,-7.95,110.2833,75.29,81,59,11.81,broken clouds
342,puerto plata,DO,19.7934,-70.6884,87.64,70,40,13.8,scattered clouds
343,cockburn town,TC,21.4612,-71.1419,85.96,66,40,11.5,scattered clouds
344,bubaque,GW,11.2833,-15.8333,80.44,79,87,11.86,overcast clouds
345,mercedes,AR,-34.6515,-59.4307,51.85,47,0,8.46,clear sky
346,gola gokarannath,IN,28.0833,80.4667,84.92,73,93,4.29,overcast clouds
347,mandera,KE,3.9366,41.867,89.19,34,95,16.04,overcast clouds
348,hovelhof,DE,51.8167,8.65,65.77,86,85,6.62,moderate rain
349,goiatuba,BR,-18.0125,-49.3547,85.96,20,74,5.99,broken clouds
350,tsabong,BW,-26.0217,22.401,55.27,27,0,3.36,clear sky
351,abha,SA,18.2164,42.5053,73.22,78,0,3.44,clear sky
352,eureka,US,40.8021,-124.1637,60.19,67,1,4.32,clear sky
353,paita,PE,-5.0892,-81.1144,75.76,70,47,12.39,scattered clouds
354,ilo,PE,-17.6394,-71.3375,61.66,82,75,6.91,broken clouds
355,verkhnyaya inta,RU,65.9811,60.3094,54.48,77,34,4.59,scattered clouds
356,dadri,IN,28.5667,77.55,90.45,61,16,1.19,few clouds
357,avera,US,33.194,-82.5271,95.92,51,99,5.53,overcast clouds
358,bavly,RU,54.393,53.2602,68.97,72,80,6.06,broken clouds
